Time of Visit,IP Address,Request Method,Status Code,Navigation Pages,Country,Sports,Number of Visit,Gender,Age,Cluster
02:27:37,108.235.25.213,HEAD,200,index.html,China,Baseball,Often,Male,36,2
02:24:04,148.211.171.101,PUT,200,searchsports.html,Philippines,Basketball,Seldon,Male,21,2
23:44:15,22.195.172.20,PATCH,200,ticketing.html,Poland,Football,Seldon,Male,33,2
06:54:58,137.178.78.18,POST,200,sechedule.html,China,Gymnastics,Daily,Male,59,1
13:12:42,178.92.57.180,GET,500,sechedule.html,China,Athletics,Seldon,Male,30,0
22:50:33,5.45.189.88,HEAD,200,ticketing.html,Russia,Football,Often,Female,22,2
15:13:08,23.92.178.71,HEAD,100,index.html,Indonesia,Volleyball,Seldon,Female,57,1
12:59:57,120.152.109.97,HEAD,200,index.html,China,Athletics,Daily,Female,22,2
21:18:34,19.102.94.77,HEAD,100,images/games.html,Indonesia,Athletics,Once,Male,39,2
05:53:15,176.128.235.162,GET,200,venue information.html,China,Basketball,Once,Non-binary,34,2
09:42:27,247.217.30.96,CONNECT,200,images/games.html,Sweden,Table Tennis,Once,Male,43,2
13:25:46,83.219.142.122,PATCH,200,sechedule.html,Philippines,Athletics,Daily,Female,62,1
11:25:07,198.26.85.198,PATCH,301,index.html,China,Athletics,Daily,Male,61,1
10:05:25,102.56.170.210,GET,200,ticketing.html,Portugal,Baseball,Often,Female,19,2
07:08:57,118.73.112.66,HEAD,200,images/games.html,Cuba,Swimming,Seldon,Non-binary,22,2
17:38:26,12.126.172.187,GET,200,images/games.html,China,Volleyball,Often,Male,63,1
12:43:26,6.90.223.69,GET,200,index.html,China,Football,Once,Female,52,1
19:01:30,116.31.207.59,HEAD,200,images/games.html,China,Basketball,Often,Male,25,2
19:18:08,80.85.17.42,GET,100,venue information.html,Ukraine,Wrestling,Seldon,Male,22,2
10:22:00,24.210.20.209,CONNECT,200,images/games.html,Peru,Football,Daily,Male,45,1
19:25:51,225.4.240.8,GET,301,index.html,Colombia,Swimming,Never,Female,28,0
21:07:57,245.108.0.167,POST,200,index.html,Poland,Football,Once,Male,27,2
00:59:48,144.24.203.124,HEAD,301,images/games.html,Greece,Table Tennis,Never,Non-binary,47,0
02:59:39,59.102.235.90,PATCH,100,venue information.html,Portugal,Badminton,Often,Female,60,1
09:56:04,148.70.157.143,CONNECT,301,sechedule.html,China,Gymnastics,Daily,Male,65,1
16:19:04,253.231.49.185,PATCH,100,news.html,Poland,Volleyball,Often,Male,57,1
13:46:14,188.221.63.51,PUT,100,news.html,China,Football,Seldon,Female,46,1
22:21:11,142.220.106.23,POST,301,sechedule.html,Argentina,Swimming,Seldon,Male,41,0
16:31:20,112.166.193.16,GET,500,sechedule.html,Philippines,Volleyball,Seldon,Male,18,0
09:49:28,6.255.181.143,HEAD,200,images/games.html,China,Weightlifting,Seldon,Male,22,2
10:07:32,99.142.193.100,PATCH,200,venue information.html,Argentina,Weightlifting,Daily,Male,38,2
21:21:21,179.111.87.121,GET,200,venue information.html,Poland,Athletics,Often,Female,66,1
19:01:46,249.152.198.81,HEAD,200,venue information.html,Mozambique,Athletics,Seldon,Male,32,2
12:50:44,127.18.41.95,HEAD,200,venue information.html,China,Swimming,Often,Male,61,1
13:58:25,143.224.59.53,HEAD,400,news.html,Greece,Volleyball,Daily,Female,42,0
03:00:09,122.39.192.122,HEAD,100,venue information.html,Japan,Swimming,Once,Non-binary,56,1
08:27:16,53.226.165.99,GET,500,searchsports.html,Peru,Athletics,Seldon,Male,69,0
07:15:48,45.213.242.253,HEAD,301,venue information.html,Poland,Swimming,Seldon,Male,28,0
08:57:44,227.210.250.66,CONNECT,301,searchsports.html,Morocco,Table Tennis,Once,Male,32,0
02:08:52,155.6.87.195,GET,301,venue information.html,China,Athletics,Once,Female,20,0
19:17:13,105.231.249.202,PATCH,500,searchsports.html,Philippines,Volleyball,Seldon,Male,33,0
20:28:09,217.141.178.195,CONNECT,100,index.html,China,Football,Once,Female,50,1
12:40:24,193.94.59.32,GET,400,volunteer.html,South Africa,Basketball,Seldon,Non-binary,47,0
08:25:56,219.243.187.35,GET,200,sechedule.html,China,Weightlifting,Once,Male,58,1
02:25:46,107.204.163.14,PUT,200,index.html,Peru,Athletics,Often,Male,25,2
12:56:04,171.115.53.250,GET,200,news.html,Russia,Athletics,Once,Male,52,1
06:30:03,81.139.220.15,PATCH,100,sechedule.html,Poland,Athletics,Often,Male,45,2
21:04:27,15.197.196.250,CONNECT,200,images/games.html,Bolivia,Athletics,Daily,Male,31,2
22:04:19,163.147.114.109,CONNECT,200,sechedule.html,Argentina,Weightlifting,Seldon,Male,40,2
18:21:03,44.15.82.246,HEAD,100,images/games.html,Russia,Baseball,Seldon,Female,29,2
01:37:49,185.114.186.226,POST,200,sechedule.html,Philippines,Swimming,Once,Non-binary,32,2
19:09:27,200.220.37.161,POST,200,venue information.html,Nigeria,Football,Daily,Male,70,1
18:39:35,53.53.232.99,CONNECT,200,sechedule.html,Argentina,Karate,Once,Male,52,1
08:06:53,207.10.201.239,GET,200,sechedule.html,Colombia,Gymnastics,Once,Female,27,2
01:18:13,114.137.50.145,PUT,301,sponsorship.html,Israel,Swimming,Often,Female,22,0
10:34:53,119.244.221.205,PATCH,100,images/games.html,Guatemala,Football,Seldon,Female,33,2
01:11:46,240.223.181.46,GET,200,venue information.html,Poland,Baseball,Often,Female,65,1
12:30:11,135.34.56.51,PATCH,200,searchsports.html,Madagascar,Swimming,Seldon,Female,18,2
04:04:44,255.127.69.16,HEAD,200,sechedule.html,Poland,Football,Often,Male,30,2
18:01:59,64.254.149.45,HEAD,200,venue information.html,Indonesia,Athletics,Seldon,Female,26,2
23:02:30,24.73.146.156,GET,301,news.html,Costa Rica,Athletics,Often,Male,67,1
10:32:36,139.48.17.150,CONNECT,200,venue information.html,Argentina,Athletics,Daily,Male,19,2
20:53:57,189.220.191.35,GET,200,images/games.html,China,Swimming,Seldon,Female,42,2
20:21:07,161.118.244.195,GET,400,sechedule.html,Brazil,Football,Seldon,Female,40,0
01:36:20,235.124.175.164,PATCH,200,sechedule.html,Argentina,Table Tennis,Once,Male,30,2
07:44:16,218.65.231.189,CONNECT,200,news.html,Syria,Football,Daily,Female,54,1
18:49:34,147.146.221.79,PATCH,100,images/games.html,China,Swimming,Once,Male,70,1
18:39:12,242.98.7.194,HEAD,500,sechedule.html,Botswana,Table Tennis,Once,Male,31,0
09:21:29,117.124.163.72,GET,200,sechedule.html,China,Athletics,Seldon,Female,63,1
22:09:51,249.220.85.195,PATCH,200,sechedule.html,China,Table Tennis,Often,Male,45,1
04:39:52,191.146.202.35,POST,200,sechedule.html,Russia,Baseball,Often,Non-binary,53,1
22:21:04,255.78.80.58,GET,200,images/games.html,Indonesia,Basketball,Seldon,Male,62,1
11:06:28,142.124.220.230,GET,200,index.html,Indonesia,Swimming,Never,Male,53,1
20:38:36,187.123.17.131,GET,200,news.html,Peru,Baseball,Often,Female,24,2
16:23:03,186.94.118.218,GET,200,index.html,Japan,Weightlifting,Daily,Female,54,1
00:14:39,240.40.77.219,HEAD,200,sechedule.html,Colombia,Football,Seldon,Male,32,2
23:14:54,151.253.178.183,CONNECT,301,searchsports.html,Brazil,Basketball,Seldon,Male,61,1
02:39:43,105.154.239.0,GET,200,sechedule.html,Indonesia,Karate,Often,Female,62,1
07:55:59,31.125.31.172,PATCH,200,images/games.html,China,Baseball,Seldon,Female,35,2
20:06:54,2.249.109.105,HEAD,100,ticketing.html,South Africa,Football,Once,Non-binary,65,1
19:46:47,190.47.116.79,GET,200,news.html,China,Table Tennis,Seldon,Male,34,2
07:44:28,167.3.166.41,POST,200,news.html,Madagascar,Athletics,Seldon,Female,40,2
15:10:43,52.171.242.209,CONNECT,200,index.html,Indonesia,Table Tennis,Often,Male,33,2
01:41:26,239.29.134.41,GET,500,sechedule.html,Argentina,Swimming,Often,Non-binary,36,0
18:54:47,52.21.73.185,POST,100,index.html,China,Weightlifting,Seldon,Female,45,2
14:25:41,100.144.251.153,HEAD,200,sechedule.html,Japan,Football,Often,Male,66,1
16:08:46,186.0.238.238,GET,200,images/games.html,Philippines,Swimming,Seldon,Male,18,2
05:58:59,214.247.10.243,HEAD,200,index.html,Russia,Athletics,Seldon,Male,21,2
08:22:46,1.148.25.133,HEAD,200,images/games.html,Argentina,Volleyball,Once,Male,55,1
02:51:38,19.239.11.14,GET,200,news.html,Portugal,Badminton,Seldon,Male,35,2
11:34:04,31.224.11.78,GET,200,index.html,United States,Baseball,Once,Female,28,2
08:41:13,233.104.162.92,GET,100,index.html,Bosnia and Herzegovina,Football,Once,Non-binary,36,2
19:56:19,87.170.73.67,POST,301,news.html,China,Swimming,Never,Female,51,0
19:20:16,225.82.74.106,PATCH,400,sechedule.html,South Korea,Athletics,Seldon,Non-binary,61,0
14:25:53,222.95.168.24,CONNECT,200,news.html,Indonesia,Volleyball,Never,Male,61,1
00:26:47,108.171.124.90,PATCH,100,sechedule.html,Croatia,Athletics,Once,Female,39,2
21:43:22,90.179.79.169,HEAD,301,news.html,Peru,Swimming,Often,Male,23,0
19:42:10,173.221.154.101,GET,200,images/games.html,China,Athletics,Once,Female,41,2
09:50:50,188.75.184.51,POST,200,ticketing.html,China,Table Tennis,Once,Female,29,2
18:06:09,54.112.166.41,GET,403,searchsports.html,Philippines,Weightlifting,Seldon,Female,50,0
14:27:25,59.43.83.193,GET,100,index.html,Indonesia,Table Tennis,Seldon,Male,19,2
12:35:49,92.66.189.94,CONNECT,200,searchsports.html,Indonesia,Basketball,Seldon,Male,40,2
11:15:49,111.145.71.101,PUT,200,venue information.html,Indonesia,Athletics,Often,Male,63,1
00:51:14,195.70.21.115,CONNECT,100,sponsorship.html,Brazil,Table Tennis,Once,Male,42,2
12:57:58,119.38.177.22,HEAD,301,venue information.html,Sweden,Swimming,Once,Female,34,0
21:18:49,87.1.232.127,POST,200,images/games.html,Canada,Volleyball,Daily,Female,30,2
23:22:47,208.70.134.149,PATCH,200,sechedule.html,Brazil,Swimming,Often,Male,61,1
06:43:36,183.109.197.151,POST,100,index.html,China,Gymnastics,Seldon,Male,34,2
08:39:05,84.52.188.58,PATCH,301,index.html,Indonesia,Football,Seldon,Male,56,0
14:56:42,146.29.133.223,POST,200,images/games.html,Indonesia,Baseball,Seldon,Male,66,1
18:50:09,102.10.191.21,PATCH,301,images/games.html,Nigeria,Swimming,Seldon,Male,28,0
05:52:49,36.2.192.182,PATCH,200,news.html,Russia,Basketball,Seldon,Male,55,1
23:43:36,131.46.9.247,POST,200,venue information.html,France,Table Tennis,Never,Female,50,1
05:57:01,227.48.150.133,GET,200,sechedule.html,Senegal,Football,Daily,Female,59,1
05:05:14,102.81.129.211,PATCH,400,venue information.html,Sweden,Volleyball,Once,Female,47,0
18:07:58,182.168.167.250,GET,100,ticketing.html,Estonia,Athletics,Seldon,Male,23,2
08:50:18,218.218.179.148,GET,200,sechedule.html,Portugal,Volleyball,Seldon,Male,69,1
21:59:23,50.121.167.214,PATCH,200,sechedule.html,Portugal,Football,Seldon,Female,56,1
04:23:59,98.240.0.23,HEAD,200,images/games.html,Thailand,Table Tennis,Often,Non-binary,34,2
04:16:53,104.170.64.8,GET,200,index.html,Russia,Athletics,Seldon,Female,25,2
13:13:27,246.78.148.106,PATCH,301,searchsports.html,United States,Swimming,Seldon,Male,23,0
11:54:52,54.22.60.109,HEAD,301,ticketing.html,Finland,Basketball,Once,Non-binary,55,0
20:16:40,134.95.172.115,HEAD,200,images/games.html,China,Basketball,Seldon,Male,57,1
22:52:43,57.121.234.96,HEAD,403,ticketing.html,Indonesia,Swimming,Seldon,Male,65,0
17:24:50,196.124.60.224,GET,301,venue information.html,Malaysia,Basketball,Often,Non-binary,28,0
03:52:27,254.62.188.28,POST,200,news.html,Russia,Swimming,Daily,Female,47,1
03:56:40,46.168.56.139,GET,200,ticketing.html,China,Swimming,Never,Male,55,1
05:44:51,25.249.189.12,HEAD,200,sechedule.html,Indonesia,Athletics,Seldon,Female,19,2
23:51:57,163.153.215.151,GET,400,sechedule.html,Thailand,Table Tennis,Seldon,Male,27,0
19:47:29,199.207.129.180,PATCH,200,index.html,Russia,Gymnastics,Once,Male,61,1
07:01:34,127.88.23.215,PUT,200,ticketing.html,Russia,Karate,Often,Female,60,1
08:50:27,84.145.7.2,HEAD,301,volunteer.html,Azerbaijan,Athletics,Daily,Female,38,0
09:34:13,218.180.13.83,GET,100,searchsports.html,Brazil,Weightlifting,Seldon,Male,59,1
22:46:46,112.131.234.127,POST,200,index.html,Indonesia,Swimming,Daily,Male,48,1
05:05:45,25.225.22.142,CONNECT,100,sechedule.html,China,Boxing,Seldon,Female,35,2
21:32:10,194.217.51.228,PATCH,200,ticketing.html,Tunisia,Swimming,Seldon,Non-binary,29,2
10:11:56,65.232.39.206,CONNECT,200,images/games.html,Russia,Baseball,Once,Female,46,1
18:24:24,105.182.43.126,GET,200,sechedule.html,Peru,Badminton,Often,Male,53,1
12:17:38,246.29.255.168,PATCH,403,images/games.html,Peru,Swimming,Seldon,Male,45,0
18:58:42,54.90.115.89,GET,301,ticketing.html,Indonesia,Athletics,Often,Female,25,0
13:00:47,165.166.216.56,PATCH,200,images/games.html,Indonesia,Basketball,Often,Female,49,1
07:07:37,88.115.26.165,GET,500,images/games.html,Indonesia,Football,Often,Male,29,0
02:42:33,101.183.71.212,GET,200,sponsorship.html,Philippines,Basketball,Seldon,Male,67,1
02:56:41,53.207.13.89,PUT,200,sechedule.html,Sweden,Basketball,Often,Female,21,2
02:33:34,63.164.100.249,GET,200,venue information.html,Indonesia,Basketball,Daily,Female,66,1
06:55:57,102.71.117.21,HEAD,200,ticketing.html,Indonesia,Basketball,Seldon,Male,39,2
04:45:03,124.250.197.4,GET,301,venue information.html,Indonesia,Football,Seldon,Male,65,1
22:34:00,22.136.45.182,HEAD,200,volunteer.html,Finland,Basketball,Seldon,Male,37,2
00:26:43,221.67.115.114,PUT,200,venue information.html,Portugal,Swimming,Daily,Female,59,1
11:43:37,217.203.130.30,CONNECT,200,sechedule.html,Ethiopia,Swimming,Never,Non-binary,34,2
00:19:50,211.35.140.167,CONNECT,100,searchsports.html,Russia,Badminton,Often,Female,56,1
10:58:58,238.178.176.77,GET,400,sponsorship.html,Indonesia,Swimming,Often,Female,62,0
05:29:55,205.250.25.215,POST,200,sechedule.html,Russia,Table Tennis,Never,Non-binary,43,2
08:45:31,213.209.239.113,CONNECT,301,index.html,Indonesia,Weightlifting,Once,Male,59,1
15:52:10,113.117.219.44,CONNECT,200,images/games.html,China,Athletics,Seldon,Male,51,1
08:13:45,52.242.107.139,POST,200,images/games.html,Sweden,Football,Once,Male,41,2
18:57:06,155.234.107.239,CONNECT,403,images/games.html,China,Basketball,Seldon,Male,60,0
10:12:55,150.101.99.81,PATCH,200,searchsports.html,China,Football,Daily,Female,43,2
21:15:03,95.246.84.151,GET,100,venue information.html,Brazil,Table Tennis,Once,Female,51,1
02:41:43,160.241.253.239,HEAD,301,ticketing.html,Portugal,Swimming,Seldon,Female,38,0
11:07:54,198.198.203.35,PATCH,200,ticketing.html,Brazil,Weightlifting,Seldon,Non-binary,67,1
23:44:17,70.105.100.2,GET,200,index.html,Brazil,Volleyball,Once,Male,64,1
16:00:08,103.54.221.147,HEAD,200,sechedule.html,Cuba,Football,Seldon,Male,21,2
03:58:55,89.241.63.244,PATCH,200,index.html,Serbia,Basketball,Never,Male,58,1
14:42:04,137.104.19.192,GET,200,ticketing.html,Cuba,Table Tennis,Once,Female,54,1
14:23:10,47.198.112.97,POST,200,images/games.html,Philippines,Gymnastics,Daily,Female,54,1
07:38:08,57.99.98.17,CONNECT,200,venue information.html,Vietnam,Basketball,Often,Female,27,2
16:49:47,8.31.235.254,PATCH,200,index.html,China,Athletics,Often,Male,25,2
03:41:50,98.206.50.161,GET,301,venue information.html,Iran,Table Tennis,Seldon,Male,66,1
06:30:55,93.156.31.81,PATCH,301,ticketing.html,Russia,Table Tennis,Seldon,Non-binary,23,0
04:29:48,150.171.188.148,POST,100,ticketing.html,Indonesia,Basketball,Seldon,Male,38,2
15:30:27,83.101.246.237,HEAD,301,sechedule.html,China,Volleyball,Seldon,Non-binary,36,0
09:38:20,2.137.134.14,POST,200,venue information.html,Thailand,Table Tennis,Never,Female,50,1
05:42:32,169.212.50.122,PATCH,200,ticketing.html,China,Football,Often,Female,48,1
04:32:41,248.117.58.60,PATCH,301,news.html,Bulgaria,Badminton,Once,Male,55,0
06:41:59,224.119.134.16,PATCH,200,index.html,France,Football,Often,Non-binary,69,1
03:53:27,38.58.220.96,PUT,200,images/games.html,Russia,Athletics,Seldon,Non-binary,61,1
21:35:15,49.169.45.210,CONNECT,301,searchsports.html,Indonesia,Table Tennis,Seldon,Male,65,1
07:24:20,108.121.239.148,PATCH,200,sechedule.html,Brazil,Basketball,Often,Female,40,2
20:52:01,215.182.48.115,HEAD,200,index.html,Brazil,Swimming,Once,Male,42,2
02:36:23,52.242.133.50,CONNECT,200,ticketing.html,France,Wrestling,Seldon,Non-binary,22,2
04:30:45,110.7.199.40,PATCH,200,index.html,Denmark,Swimming,Seldon,Non-binary,29,2
10:12:22,243.180.163.120,CONNECT,200,images/games.html,China,Volleyball,Often,Female,36,2
01:00:43,241.140.26.34,PATCH,200,volunteer.html,Russia,Athletics,Daily,Non-binary,20,2
10:47:25,15.42.160.55,POST,200,images/games.html,Portugal,Football,Once,Male,70,1
13:45:06,0.68.19.26,GET,200,sechedule.html,France,Athletics,Seldon,Female,64,1
10:03:42,62.244.8.168,PATCH,100,images/games.html,Peru,Athletics,Never,Female,46,1
10:50:32,168.19.90.128,HEAD,301,sechedule.html,Serbia,Athletics,Often,Male,68,1
19:37:19,67.175.91.207,HEAD,200,ticketing.html,Canada,Table Tennis,Once,Female,21,2
07:30:21,159.105.155.239,PATCH,500,sechedule.html,Portugal,Swimming,Daily,Male,63,0
18:21:25,71.12.129.211,GET,200,images/games.html,Portugal,Badminton,Never,Male,48,1
20:36:18,137.157.163.43,HEAD,100,index.html,Ethiopia,Basketball,Once,Female,52,1
23:06:57,16.20.116.72,POST,200,searchsports.html,Philippines,Athletics,Often,Female,67,1
13:37:03,190.1.219.53,PUT,400,sechedule.html,Indonesia,Swimming,Often,Female,26,0
21:23:40,0.157.121.155,CONNECT,200,index.html,China,Swimming,Often,Female,29,2
16:03:04,57.228.106.184,POST,200,venue information.html,China,Volleyball,Seldon,Male,26,2
07:53:46,131.186.57.73,GET,100,index.html,China,Athletics,Often,Female,54,1
02:04:31,210.41.164.140,GET,200,ticketing.html,Philippines,Swimming,Often,Non-binary,52,1
15:03:55,187.216.85.209,GET,200,ticketing.html,Poland,Wrestling,Seldon,Male,24,2
09:52:37,218.22.233.110,HEAD,200,index.html,Mali,Table Tennis,Seldon,Male,39,2
23:31:25,162.56.58.60,HEAD,100,images/games.html,Yemen,Baseball,Once,Non-binary,63,1
18:53:32,129.0.113.0,CONNECT,400,index.html,China,Badminton,Often,Male,44,0
03:26:35,190.5.61.117,GET,200,volunteer.html,United Arab Emirates,Shooting,Seldon,Male,57,1
13:07:59,184.95.198.253,CONNECT,200,images/games.html,Indonesia,Gymnastics,Once,Non-binary,68,1
10:07:04,127.223.147.222,CONNECT,200,images/games.html,Denmark,Basketball,Seldon,Male,25,2
21:09:33,27.243.22.33,GET,200,images/games.html,United States,Wrestling,Seldon,Male,57,1
22:41:04,220.244.36.79,PATCH,200,venue information.html,Cameroon,Table Tennis,Never,Male,61,1
09:21:27,65.28.43.71,GET,200,images/games.html,Germany,Boxing,Once,Non-binary,18,2
